Timestamp,ATM IV
2024-07-14T01:24:15.433540,51.37
2024-07-14T01:24:15.804255,51.38
2024-07-14T01:24:16.944887,51.38
2024-07-14T01:24:16.998335,51.38
2024-07-14T01:24:17.248064,51.38
2024-07-14T01:24:18.611047,51.39
2024-07-14T01:24:18.757033,51.39
2024-07-14T01:24:18.938074,51.39
2024-07-14T01:24:20.182328,51.39
2024-07-14T01:24:20.387820,51.39
2024-07-14T01:24:20.476325,51.39
2024-07-14T01:24:21.710621,51.39
2024-07-14T01:24:21.972015,51.39
2024-07-14T01:24:22.041965,51.39
2024-07-14T01:24:23.274878,51.39
2024-07-14T01:24:23.625455,51.39
2024-07-14T01:24:23.666228,51.39
2024-07-14T01:24:24.791694,51.39
2024-07-14T01:24:25.130182,51.39
2024-07-14T01:24:25.146656,51.39
2024-07-14T01:24:26.247328,51.39
2024-07-14T01:24:26.802773,51.39
2024-07-14T01:24:26.805376,51.39
2024-07-14T01:24:27.722351,51.39
2024-07-14T01:24:28.441525,51.39
2024-07-14T01:24:28.442721,51.39
2024-07-14T01:24:29.187055,51.39
2024-07-14T01:24:30.064515,51.38
2024-07-14T01:24:30.065504,51.38
2024-07-14T01:24:30.680573,51.38
2024-07-14T01:24:31.815506,51.38
2024-07-14T01:24:31.826960,51.38
2024-07-14T01:24:32.167927,51.38
2024-07-14T01:24:33.534584,51.38
2024-07-14T01:24:33.545640,51.38
2024-07-14T01:24:33.757088,51.38
2024-07-14T01:24:35.155518,51.38
2024-07-14T01:24:35.231912,51.38
2024-07-14T01:24:35.371573,51.38
2024-07-14T01:24:36.827726,51.38
2024-07-14T01:24:36.899577,51.38
2024-07-14T01:24:37.009690,51.38
2024-07-14T01:24:38.574635,51.38
2024-07-14T01:24:38.701064,51.38
2024-07-14T01:24:38.766721,51.38
2024-07-14T01:24:40.123164,51.38
2024-07-14T01:24:40.266626,51.38
2024-07-14T01:24:40.345533,51.38
2024-07-14T01:24:41.817506,51.38
2024-07-14T01:24:41.969558,51.38
2024-07-14T01:24:42.012326,51.38
2024-07-14T01:24:43.472941,51.38
2024-07-14T01:24:43.694699,51.38
2024-07-14T01:24:43.700591,51.38
2024-07-14T01:24:45.097514,51.38
2024-07-14T01:24:45.295935,51.38
2024-07-14T01:24:45.369059,51.38
2024-07-14T01:24:46.612525,51.38
